bienvenidos a España; willkommen in Spanien
Alemania; Deutschland
!Hola!; Hallo!
el español; Spanisch
la lengua; Sprache
la calle; Straße
la plaza; Platz
el monumento; Denkmal
la escuela; Schule
la cerveza; Bier
el café; Kaffee
el sol; Sonne
la playa; Strand
el/a turista; Tourist/in
la ruta; Route
el mapa; Stadtplan
el/la amigo/a; Freund/in
el hotel; Hotel
bailar; tanzen
hablar; sprechen
¿Que tal?/¿Cómo estás?; Wie geht es dir?
Estoy bien.; Mir geht's gut.
gracias; danke
y; und
tú; du, dir
Estoy fenomenal/fantástico.; Mir geht es supergut, fantastisch
¿Cómo te llamas?; Wie heißt du?
me llamo; ich heiße
Encantado/a. / Mucho gusto; Freut mich., Sehr erfreut
el centro; Zentrum
el/la compañero/a; Begleiter, Kumpel
el vocabulario; Vokabel
la ciudad; Stadt
el parque; Park
el chico; Junge
la chica; Mädchen
la melodía; Melodie
el helado; Eis
la bebida; Getränk
grande; groß
sal y pimienta; Salz und Pfeffer
soy de; ich komme aus
¿De dónde eres?; Woher kommst du?
está en el norte; das liegt im Norden
el sur; Süden
Buenos días; Guten Tag
Buenas tardes; Guten Abend
la isla; Insel
las Islas Baleares; Balearische Inseln
muy bien; sehr gut
genial; genial, sehr gut
de maravilla; wunderbar
estupendo; toll
excelente; hervorragend
regular; okay
mal; schlecht
fatal; fatal
mi vida; mein Leben
la puerta; Tür
la foto; Foto
las patatas; Kartoffeln
el aceite de oliva; Olivenöl
el huevo; Ei
la cebolla; Zwiebel
el perejil; Petersilie
